s,d,t
428,538,0
374,538,0.003658853
231,452,0.010132208
2,538,0.028707922
187,538,0.038066142
196,705,0.038347592
792,538,0.043554421
676,538,0.054742067
732,538,0.067196239
374,878,0.088586455
732,878,0.089571531
428,878,0.094356184
187,878,0.108428695
706,538,0.194200648
871,308,0.21629449
179,538,0.240358483
179,878,0.26203015
692,656,0.262733775
252,656,0.264281751
252,656,0.264985377
252,656,0.267659154
672,656,0.268151692
252,656,0.268433142
252,656,0.268996042
252,656,0.269418218
687,387,0.28546088
374,387,0.289260458
428,387,0.293693299
672,387,0.309524873
732,387,0.358145398
2,387,0.393678487
395,386,0.424215836
2,390,0.46207089
428,390,0.462281977
193,389,0.576832215
643,387,0.674706527
95,389,0.789608577
184,387,0.81367257
871,308,0.839988165
333,386,0.846954058
220,394,0.891141741
870,308,0.903455188
870,878,0.906973316
870,391,0.918723863
774,308,0.955382753
231,308,1.081964987
545,538,1.118905328
788,538,1.124956507
243,308,1.136355241
512,387,1.163796637
871,308,1.165344613
388,538,1.242884147
338,387,1.261530224
323,308,1.262022762
636,387,1.291715759
636,388,1.301636879
636,388,1.303114493
39,387,1.305014282
777,308,1.442784162
353,308,1.544317327
492,389,1.551072132
871,390,1.592726764
492,705,1.594696915
445,705,1.666677807
190,308,1.70889534
190,389,1.711850567
494,237,1.887968039
494,387,1.891275079
677,538,2.554231059
432,241,2.576747076
432,102,2.691860214
332,389,2.984075899
887,389,3.134933214
352,389,3.158645394
887,240,3.194459934
389,394,3.343909998
196,387,3.371703207
791,393,3.436718206
791,236,3.438336545
791,452,3.441925035
791,148,3.450157454
193,393,3.450861079
193,102,3.46437069
193,389,3.473939997
79,389,3.501944293
79,389,3.551690619
127,389,3.611287702
731,387,3.620153383
127,387,3.624234411
731,390,3.641262149
731,308,3.651816532
871,484,3.655123572
731,389,3.656249373
731,484,3.674191825
257,389,3.772066137
98,389,3.854390324
295,308,3.961200681
871,389,4.033322298
251,387,4.050350036
631,389,4.073288229
359,387,4.105584641
153,393,4.131407698
871,389,4.165814987
737,388,4.209299045
244,393,4.219853428
677,245,4.223934456
244,388,4.230829986
184,244,4.270233016
290,308,4.383164915
447,389,4.385697967
193,393,4.434037041
236,390,4.451768404
236,484,4.455427257
236,392,4.459719373
728,240,4.490538172
512,389,4.553090482
431,387,4.578491364
592,308,4.580742965
592,241,4.584050005
431,394,4.595519101
431,388,4.601640644
152,386,4.638580984
152,388,4.641817662
243,106,4.683824106
637,395,4.723508587
124,389,4.81040634
194,389,4.872255025
871,389,4.907858477
871,484,4.915316908
372,387,4.985327649
372,452,4.993208255
705,308,4.999400159
418,240,5.001299948
636,387,5.004747713
418,240,5.005310614
592,388,5.021986539
592,99,5.041265879
395,386,5.042532405
95,389,5.047387421
443,386,5.049076122
791,239,5.050201923
592,875,5.052734975
432,874,5.136677501
418,484,5.137170039
432,873,5.143924844
127,389,5.144769195
152,386,5.147724422
152,388,5.150046387
193,389,5.15729373
520,484,5.157926993
520,484,5.158771343
190,389,5.165737236
152,452,5.171788416
443,656,5.203662652
443,656,5.204929178
443,388,5.214146673
152,388,5.229837522
432,237,5.261219221
432,237,5.265089162
98,389,5.277261883
98,389,5.281976175
386,386,5.284438864
631,389,5.3157502
631,389,5.32482697
204,308,5.422349469
872,99,5.450142678
233,484,5.484127791
55,389,5.539503121
443,386,5.566381616
395,388,5.583972255
395,386,5.585801681
395,656,5.60367377
395,395,5.606769722
395,395,5.607965885
443,389,5.649761242
519,538,5.654123721
5,395,5.654123721
95,389,5.66678898
95,389,5.670236745
95,389,5.672136534
95,389,5.674317773
492,392,5.684942519
352,395,5.688249559
492,393,5.702673883
618,308,5.708302887
371,387,5.776202751
121,389,5.818772096
121,389,5.821656961
71,705,5.907921451
709,874,5.917983297
443,389,5.919038735
443,389,5.922416138
443,656,5.946831944
95,389,5.953375661
95,389,5.953586749
95,389,5.954220012
95,389,5.963859682
95,389,5.972795726
31,389,6.079957895
237,452,6.090512278
102,869,6.09635237
237,308,6.097970709
102,869,6.107258566
395,389,6.198800248
395,656,6.206751217
395,389,6.210410069
235,386,6.215687261
235,388,6.218642488
235,395,6.219979377
81,386,6.221879166
540,388,6.227930345
540,237,6.234192613
764,388,6.253260865
102,386,6.25368304
540,870,6.258678781
81,386,6.259874945
352,389,6.265644674
6,452,6.268177726
6,242,6.27957646
102,869,6.28949758
392,388,6.324045594
102,386,6.338329192
395,867,6.371962493
81,867,6.384135214
443,386,6.390397482
190,389,6.406017968
395,386,6.415024375
395,388,6.422271718
443,389,6.443732297
636,390,6.47300312
888,394,6.514376301
333,386,6.563911539
242,308,6.607817772
242,308,6.60831031
98,389,6.669033194
220,394,6.684724043
395,386,6.70667716
102,386,6.716105742
395,386,6.735103632
443,386,6.744532214
102,386,6.745306202
709,392,6.772043972
64,394,6.824956613
100,869,6.874280763
102,869,6.881387381
443,869,6.881739193
420,871,6.890323425
102,869,6.900314908
149,392,6.931626244
100,869,6.937255248
420,394,6.945698755
149,392,6.957027126
190,308,6.959138002
420,867,6.959419453
65,740,6.961319242
102,869,6.963922656
369,452,6.965752082
420,868,6.987494112
13,242,6.995233992
149,740,6.997133781
750,387,7.018172185
220,394,7.019860886
149,392,7.038858776
750,100,7.056730864
34,394,7.066581622
55,393,7.115202146
524,394,7.161782157
55,389,7.176347205
65,484,7.209769418
156,705,7.284775901
64,391,7.307291918
374,105,7.406503118
640,452,7.439362431
512,389,7.442880559
640,148,7.447243037
709,868,7.469970142
127,237,7.514650363
517,387,7.526752722
127,867,7.540895596
871,484,7.752475794
149,240,7.835362883
83,740,7.970458985
444,874,8.131941046
444,736,8.136584975
444,394,8.151290748
444,705,8.157201203
444,740,8.164589271
444,868,8.180983746
709,874,8.456734594
709,868,8.460956347
395,386,8.952016608
389,736,9.307699317
389,868,9.324445605
51,387,9.566352064
709,868,9.614480051
226,237,9.695889525
226,387,9.709117685
194,389,9.716927929
422,240,9.728115575
226,388,9.742258448
51,387,9.766814979
153,868,9.771458908
55,389,9.82662315
495,389,9.901207457
231,148,9.954049734
231,308,9.957708587
332,104,9.999715032
332,393,10.01294319
332,484,10.0208238
332,734,10.02884513
709,868,10.03158927
728,240,10.06775562
728,242,10.07816928
492,392,10.0794358
395,734,10.08604988
395,386,10.0897791
149,392,10.13199663
193,393,10.16844444
728,242,10.19926323
728,240,10.20869182
422,585,10.21889439
704,538,10.24577288
204,867,10.25309059
51,538,10.2579456
728,101,10.27813966
100,735,10.29784117
149,867,10.43821447
871,392,10.44672833
447,242,10.47318465
422,871,10.47445118
422,388,10.51638726
418,484,10.53278174
98,389,10.53306319
418,874,10.54094379
609,240,10.55966023
636,734,10.58548329
395,585,10.610462
395,867,10.65880107
389,735,10.69735975
728,242,10.72846
728,240,10.73303357
709,874,10.78974578
333,386,10.81331724
713,387,10.83456673
124,389,10.85173519
442,237,10.85462006
871,484,10.85687166
494,104,10.89592288
51,740,10.94193999
870,734,10.96136005
447,242,10.99006797
226,390,11.00111489
5,388,11.01694647
5,388,11.05620877
289,100,11.07752863
447,243,11.10419604
389,868,11.15591251
389,868,11.17118119
728,242,11.17673983
31,389,11.2113582
554,734,11.23549256
432,101,11.25294247
894,387,11.25821967
432,874,11.26230069
432,874,11.26363758
445,245,11.41062496
288,245,11.41182112
592,736,11.41463562
422,412,11.46332651
98,392,11.50090011
709,874,11.53333725
709,868,11.54135858
98,392,11.54220293
102,386,11.62185334
224,389,11.65323504
447,242,11.66118601
224,387,11.66505595
692,656,11.67223293
395,386,11.72507521
395,734,11.7354185
122,538,11.79332689
193,740,11.83624804
193,389,11.84293249
39,387,11.98724608
31,868,12.08575366
636,388,12.09342318
748,387,12.19481562
548,389,12.2345001
62,734,12.24491375
51,387,12.26728905
39,387,12.27932104
442,389,12.3308968
728,242,12.33638507
254,656,12.34243625
254,656,12.34567293
728,101,12.35003541
95,743,12.38198001
442,237,12.40956213
442,740,12.41934253
851,389,12.4362999
747,874,12.46465601
709,868,12.4704961
887,389,12.47619547
692,656,12.47795453
887,392,12.4847797
886,386,12.53199297
637,389,12.54303989
447,308,12.54557295
887,389,12.54761346
98,389,12.55352392
637,245,12.55718277
98,392,12.56414866
226,734,12.56893331
178,743,12.60432568
224,389,12.63155599
677,538,12.63282251
224,387,12.63817007
389,868,12.65386092
636,237,12.65751977
193,105,12.68137267
5,394,12.69277141
506,244,12.70557739
637,412,12.72140897
5,386,12.72633435
5,386,12.7277416
442,237,12.74160302
5,594,12.75616807
348,391,12.75750496
153,740,12.76299324
120,484,12.77150711
120,241,12.77361798
538,393,12.77868409
887,392,12.78156895
899,593,12.78248366
637,873,12.78269475
5,395,12.80056684
39,387,12.81865002
886,447,12.82040908
244,388,12.82287177
132,308,12.82667135
392,869,12.83532594
519,734,12.83785899
132,741,12.83982915
354,734,12.8406735
245,395,12.84320655
358,100,12.84749866
132,388,12.85544963
120,874,12.86586329
120,105,12.86832598
232,389,12.8737439
120,741,12.87859891
132,741,12.89105308
232,389,12.89949659
548,389,12.90786973
232,389,12.91631324
232,389,12.9222237
374,736,12.93073756
65,388,12.95634953
749,100,12.97211075
522,388,12.98210223
250,393,12.98428347
250,734,12.9900532
371,389,12.99779308
371,741,13.00848819
250,484,13.01017689
98,389,13.02924514
856,394,13.03459269
250,389,13.03811082
672,734,13.04894665
422,594,13.05344986
672,388,13.06330062
124,389,13.07075905
672,656,13.0772324
232,389,13.07807675
832,100,13.08159488
832,387,13.09053092
5,394,13.09369724
5,394,13.09672283
832,393,13.09721537
832,734,13.1108657
637,443,13.1131173
56,389,13.16778901
883,870,13.17412164
39,387,13.18094681
122,538,13.19143083
179,878,13.20796603
358,874,13.21887222
156,394,13.22365688
358,105,13.22478268
540,870,13.22633065
590,308,13.23210038
34,740,13.28198743
747,484,13.32181264
448,392,13.33623696
238,308,13.34369539
747,241,13.35565703
448,450,13.36445235
238,393,13.36522633
747,874,13.3737402
31,868,13.42024985
871,484,13.43601106
74,388,13.45873817
251,386,13.47703243
251,394,13.48019875
709,874,13.52804528
592,874,13.53282994
744,390,13.53325211
709,868,13.53472973
592,590,13.53522226
592,105,13.54725426
592,484,13.54971695
524,395,13.59981509
857,705,13.60931403
857,105,13.61114346
524,394,13.62057204
237,148,13.62634177
237,594,13.6287341
744,390,13.63070425
636,237,13.66891111
187,443,13.67010728
636,388,13.67531411
237,308,13.68769792
231,452,13.68875335
187,387,13.68938662
445,389,13.69466381
708,293,13.80794752
237,394,13.8756363
871,390,14.07849154
871,484,14.09333804
709,592,14.9476098
709,874,14.95035394
777,293,15.09002361
777,593,15.09903002
777,735,15.1067699
724,394,15.12710468
393,734,15.188883
120,874,15.32953774
678,395,15.33988104
731,740,15.37914334
55,389,15.42143124
1,741,15.53717764
691,538,15.57341435
746,538,15.59191971
538,296,15.5994485
538,743,15.60402206
538,395,15.60915853
538,291,15.61520971
244,412,15.6165466
538,291,15.6171095
395,386,15.62316068
538,412,15.62351249
395,869,15.62878968
244,392,15.64328437
395,446,15.65236114
422,412,15.65545709
395,386,15.67262555
495,389,15.67544006
235,394,15.69267888
120,484,15.69929296
747,443,15.72335696
333,386,15.72567892
838,244,15.72940813
5,594,15.73348916
188,99,15.7437621
395,734,15.75565337
395,452,15.76494122
395,452,15.76606703
747,874,15.79568966
435,240,15.80455534
587,244,15.81131015
587,736,15.81588371
435,239,15.81715024
372,237,15.82123127
587,389,15.82686027
422,451,15.83171529
435,244,15.83270036
435,244,15.83537414
5,395,15.8536684
133,592,15.91931667
369,452,15.94830604
336,734,15.95942332
124,389,15.9831355
709,592,16.01683917
709,736,16.02014621
286,393,16.07918039
876,290,16.08656846
883,387,16.08699063
286,394,16.09233819
375,241,16.11246188
375,590,16.11499493
286,395,16.11548747
227,244,16.20132978
227,240,16.23545562
120,874,16.25740874
791,393,16.26514862
55,389,16.27732134
791,388,16.28083947
791,148,16.28534267
791,395,16.2894237
